Date,Name,Year,Letterboxd URI,Rating
2021-01-12,Brooklyn,2015,https://boxd.it/5bdk,4
2021-01-12,Casino Royale,2006,https://boxd.it/1alk,4
2021-01-12,Dreamland,2019,https://boxd.it/hg1M,3
2021-01-12,Fireworks,2017,https://boxd.it/fjvm,2.5
2021-01-12,Grave of the Fireflies,1988,https://boxd.it/1RUM,4.5
2021-01-12,Guns Akimbo,2019,https://boxd.it/gkFu,3
2021-01-12,House of Hummingbird,2018,https://boxd.it/jZ8C,4.5
2021-01-12,Hugo,2011,https://boxd.it/R08,3.5
2021-01-12,I've Always Liked You,2016,https://boxd.it/d1kc,3
2021-01-12,Imperfect,2019,https://boxd.it/mApk,3.5
2021-01-12,Joker,2019,https://boxd.it/h4cS,4.5
2021-01-12,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2021-01-12,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3.5
2021-01-12,Klaus,2019,https://boxd.it/ipoi,4
2021-01-12,Mank,2020,https://boxd.it/mIuC,3.5
2021-01-12,More Than Family,2020,https://boxd.it/ncPK,3
2021-01-12,Mulan,2020,https://boxd.it/bbK6,2
2021-01-12,Murder on the Orient Express,2017,https://boxd.it/dHjA,4
2021-01-12,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2021-01-12,Love Like the Falling Rain,2020,https://boxd.it/pufa,3
2021-01-12,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3
2021-01-12,Pokemon the Movie: Mewtwo Strikes Back - Evolution,2019,https://boxd.it/kZu6,2.5
2021-01-12,Quantum of Solace,2008,https://boxd.it/1Vs8,3.5
2021-01-12,Rebecca,2020,https://boxd.it/ighW,3
2021-01-12,Ready Player One,2018,https://boxd.it/aZes,4.5
2021-01-12,Rentang Kisah,2020,https://boxd.it/qqZK,3
2021-01-12,Revolutionary Road,2008,https://boxd.it/24Le,3.5
2021-01-12,Room,2015,https://boxd.it/7T0y,4.5
2021-01-12,Sejuta Sayang Untuknya,2020,https://boxd.it/s1sA,4
2021-01-12,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3
