Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-02-14,Love and Leashes,2022,https://boxd.it/2zRDzL,3,,,2022-02-12
2022-02-15,Nightmare Alley,2021,https://boxd.it/2A2rar,3,,,2022-02-14
2022-02-15,Encanto,2021,https://boxd.it/2A9QJZ,3,,,2022-02-15
2022-02-16,Star Wars,1977,https://boxd.it/2AdDOb,4,,,2022-02-15
2022-02-19,The Empire Strikes Back,1980,https://boxd.it/2AGfsX,4,,,2022-02-18
2022-02-19,Flee,2021,https://boxd.it/2ARvRV,4.5,,,2022-02-19
2022-02-21,CODA,2021,https://boxd.it/2B6USp,3.5,,,2022-02-20
2022-03-05,Drive My Car,2021,https://boxd.it/2Dl4iR,5,,,2022-03-05
2022-03-09,West Side Story,2021,https://boxd.it/2E8wYf,4,,,2022-03-06
2022-04-16,The Mitchells vs. The Machines,2021,https://boxd.it/2KVueB,5,Yes,,2022-04-15
2022-04-24,Shoplifters,2018,https://boxd.it/2MoioL,4.5,,,2022-04-23
2022-04-30,Summer Ghost,2021,https://boxd.it/2NqR3V,3,,,2022-04-23
2022-04-29,The Batman,2022,https://boxd.it/2Nq9nn,4.5,,,2022-04-29
2022-04-30,Zodiac,2007,https://boxd.it/2NsBYF,4,,,2022-04-30
2022-05-03,About Time,2013,https://boxd.it/2O1swx,4,Yes,,2022-05-03
2022-05-08,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OQks5,3.5,,,2022-05-05
2022-05-13,The Northman,2022,https://boxd.it/2PSFHj,3.5,,,2022-05-13
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/2R0Dlv,5,,,2022-05-20
2022-05-26,Beyond the Infinite Two Minutes,2020,https://boxd.it/2Sa213,4.5,,,2022-05-26
2022-06-17,Dead Poets Society,1989,https://boxd.it/2W1jKR,4,,,2022-06-17
2022-06-19,Cha Cha Real Smooth,2022,https://boxd.it/2Wn1iT,4.5,,,2022-06-19
2022-06-26,Turning Red,2022,https://boxd.it/2XHn4X,4,,,2022-06-25
2022-07-03,If Anything Happens I Love You,2020,https://boxd.it/2Z02fd,3.5,,,2022-07-03
